species,overlap.region,COG_category,probability,expected,count
hbt,hbt,C,0.8985,10.19,6
hbt,hbt,D,0.1234,1.942,3
hbt,hbt,E,0.9739,12.46,6
hbt,hbt,F,0.7751,5.178,3
hbt,hbt,G,0.928,4.127,1
hbt,hbt,H,0.9991,8.819,1
hbt,hbt,I,0.8768,4.855,2
hbt,hbt,J,3.868e-6,12.14,28
hbt,hbt,K,0.01896,14,21
hbt,hbt,L,0.02448,12.7,19
hbt,hbt,M,0.06888,5.178,8
hbt,hbt,N,0.07305,3.722,6
hbt,hbt,O,0.9155,6.716,3
hbt,hbt,P,0.9493,10.11,5
hbt,hbt,Q,0.5357,3.803,3
hbt,hbt,S,0.7004,55.67,52
hbt,hbt,T,0.2194,4.936,6
hbt,hbt,U,0.3149,1.133,1
hbt,hbt,V,0.01272,3.236,7
hbt,hbt&hmed,E,0.002072,0.6196,3
hbt,hbt&hmed,K,0.003198,0.696,3
hbt,hbt&hmed,M,0.02549,0.2575,1
hbt,hbt&hmed,O,0.04134,0.3339,1
hbt,hbt&hmed,S,0.8177,2.768,1
hmed,hbt&hmed,E,0.0023,0.6503,3
hmed,hbt&hmed,K,0.0208,0.6384,2
hmed,hbt&hmed,M,0.01919,0.2224,1
hmed,hbt&hmed,O,0.03295,0.2965,1
hmed,hbt&hmed,S,0.7951,2.618,1
hbt,hbt&hvol,C,0.2479,0.9575,1
hbt,hbt&hvol,E,0.004553,1.17,4
hbt,hbt&hvol,K,0.1389,1.315,2
hbt,hbt&hvol,L,7.027e-4,1.193,5
hbt,hbt&hvol,N,0.04625,0.3496,1
hbt,hbt&hvol,Q,3.335e-4,0.3572,3
hbt,hbt&hvol,S,0.9838,5.228,1
hvol,hbt&hvol,C,0.1497,0.6928,1
hvol,hbt&hvol,E,0.003794,1.169,4
hvol,hbt&hvol,K,0.05455,0.8951,2
hvol,hbt&hvol,L,0.0366,0.7648,2
hvol,hbt&hvol,N,0.009836,0.1543,1
hvol,hbt&hvol,Q,0.01655,0.2023,1
hvol,hbt&hvol,S,0.9379,3.875,1
hbt,hbt&hvol&hmed,E,0,0.2065,3
hmed,hbt&hvol&hmed,E,0,0.2439,3
hvol,hbt&hvol&hmed,E,0,0.2924,3
hmed,hmed,D,0.07868,0.468,1
hmed,hmed,E,0.1448,4.39,6
hmed,hmed,G,0.6606,2.227,1
hmed,hmed,H,0.6566,2.211,1
hmed,hmed,K,0.06192,4.309,7
hmed,hmed,M,0.1885,1.501,2
hmed,hmed,N,0.03113,0.694,2
hmed,hmed,O,0.6016,2.001,1
hmed,hmed,P,0.3305,2.905,3
hmed,hmed,Q,7.792e-7,1.081,8
hmed,hmed,S,0.5135,17.67,17
hmed,hmed,T,0.05366,2.066,4
hmed,hmed,V,0.2584,0.9845,1
hvol,hvol,C,0.8362,3.175,1
hvol,hvol,E,0.6333,5.36,4
hvol,hvol,G,0.1382,2.751,4
hvol,hvol,H,0.6172,2.059,1
hvol,hvol,I,0.3712,1.289,1
hvol,hvol,J,0.4682,2.531,2
hvol,hvol,K,0.2241,4.103,5
hvol,hvol,L,0.05787,3.505,6
hvol,hvol,M,0.004374,1.572,5
hvol,hvol,N,0.1568,0.7073,1
hvol,hvol,P,0.5248,2.751,2
hvol,hvol,Q,0.06443,0.9274,2
hvol,hvol,S,0.5237,17.76,17
hvol,hvol,T,0.3004,1.918,2
hvol,hvol,U,0.0316,0.2829,1
hvol,hvol,V,0.2254,0.896,1
hmed,hvol&hmed,E,5.622e-4,0.4877,3
hmed,hvol&hmed,P,0.03741,0.3228,1
hmed,hvol&hmed,S,0.3076,1.964,2
hvol,hvol&hmed,E,0.001134,0.5847,3
hvol,hvol&hmed,P,0.03266,0.3001,1
hvol,hvol&hmed,S,0.2992,1.938,2
